time, body_id, mass, pos_x, pos_y, pos_z, vel_x, vel_y, vel_z
3, 1, 3.0035e-06, 0.700722, 0.691691, -0.000138421, -4.5114, 4.52228, -0.0015302
3, 2, 1.6601e-07, 0.246946, 0.480096, 0.0280526, -5.95042, 4.21507, 0.769147
3, 3, 2.4478e-06, -0.81818, -0.00197359, 0.0532116, -0.57976, -6.48417, -0.295647
3, 4, 3.2272e-07, -0.187062, 3.10842, 0.0905452, -2.91915, -1.16291, -0.0338089
3, 5, 0.00095479, 2.3398, 4.50493, -0.0957062, -2.47231, 1.34844, 0.0675415
3, 6, 0.00028588, 0.998081, 9.27032, -0.0857523, -2.0793, 0.195408, 0.107095
3, 7, 4.3662e-05, 16.6752, -9.16846, -0.238424, 0.697932, 1.26078, 0.00167423
3, 8, 5.1514e-05, 23.1245, -18.9212, -0.807072, 0.723947, 0.90155, -0.0264124
3, 9, 7.396e-09, -7.8681, -28.0067, 12.0371, 1.11416, -0.0119453, -0.365542
3.5, 0, 1, 0.012177, -0.00389089, 1.87034e-05, 0.00313976, -0.00069449, -0.000106931
3.5, 1, 3.0035e-06, -0.854949, -0.617365, 0.000198712, 3.42396, -4.79891, 0.00140861
3.5, 2, 1.6601e-07, 0.082678, 0.573908, 0.0473507, -6.59593, 0.870192, 0.510622
3.5, 3, 2.4478e-06, 0.458362, 0.574503, 0.00114727, -5.71181, 4.63531, 0.603862
3.5, 4, 3.2272e-07, -1.50334, 1.97306, 0.0575003, -2.05321, -3.46734, -0.100933
3.5, 5, 0.00095479, 1.03218, 5.0028, -0.0587855, -2.72465, 0.633054, 0.0791802
3.5, 6, 0.00028588, -0.045405, 9.3112, -0.0317919, -2.09041, -0.0322384, 0.108527
3.5, 7, 4.3662e-05, 17.0121, -8.53165, -0.237417, 0.649604, 1.28619, 0.00235702
3.5, 8, 5.1514e-05, 23.4822, -18.4669, -0.820128, 0.706687, 0.915408, -0.0258093
3.5, 9, 7.396e-09, -7.3098, -28.0082, 11.8525, 1.11902, 0.005961, -0.373178
4, 0, 1, 0.0137596, -0.00404536, -3.54798e-05, 0.00317279, 5.78521e-05, -0.000110039
4, 1, 3.0035e-06, 0.887153, 0.438953, -0.000162977, -2.86997, 5.70936, -0.00190011
4, 2, 1.6601e-07, -0.0816456, 0.538323, 0.0549827, -6.72299, -2.37127, 0.227407
4, 3, 2.4478e-06, 0.141081, -0.791803, -0.0486357, 6.54434, 1.73685, -0.329757
4, 4, 3.2272e-07, -1.71059, -0.295046, -0.00851374, 2.01056, -5.06524, -0.147408
4, 5, 0.00095479, -0.350812, 5.1329, -0.0175309, -2.77334, -0.112936, 0.0848083
4, 6, 0.00028588, -1.08807, 9.238, 0.0225532, -2.07599, -0.260362, 0.108631
4, 7, 4.3662e-05, 17.3247, -7.88258, -0.236068, 0.600353, 1.30975, 0.00303629
4, 8, 5.1514e-05, 23.8312, -18.0058, -0.83288, 0.689156, 0.928933, -0.0251963
4, 9, 7.396e-09, -6.74913, -28.0007, 11.664, 1.12361, 0.0242196, -0.380845
4.5, 0, 1, 0.0153269, -0.00381663, -9.12306e-05, 0.00302628, 0.000860427, -0.000109517
4.5, 1, 3.0035e-06, -0.999177, -0.318953, -4.24157e-06, 1.76352, -5.62203, 0.00164374
4.5, 2, 1.6601e-07, -0.257767, 0.356181, 0.0501719, -5.9805, -6.29818, -0.174429
